path,size_bytes,git_status,classification,category,needed_for_v5,needed_for_history,regenerable,recommendation,reason
codex/v2/R2/V2_R2_INSTRUCCIONES.md,6329,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R2/V2_R2_RESULTADO.md,2938,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R2/V2_R2_VALIDACION_REAL.md,13271,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R2/V2_R2_codex_1.md,4016,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_1_CORRECCIONES.md,12675,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_1_RESULTADO.md,4747,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_1_VALIDACION_INSTRUCCIONES.md,10591,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_1_VALIDACION_REAL.md,11189,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_INSTRUCCIONES.md,8809,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_RESULTADO.md,2269,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_VALIDACION_REAL.md,12373,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R3/V2_R3_codex_1.md,6186,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_1_CORRECCIONES.md,7973,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_1_REPRODUCIBILIDAD_CALLS.md,10043,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_1_REPRODUCIBILIDAD_RESULTADO.md,3398,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_1_RESULTADO.md,2754,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_1_VALIDACION_INSTRUCCIONES.md,11033,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_1_VALIDACION_REAL.md,4097,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_INSTRUCCIONES.md,13117,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_RESULTADO.md,1979,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_VALIDACION_INSTRUCCIONES.md,13336,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R4/V2_R4_VALIDACION_REAL.md,4222,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_1_CORRECCIONES.md,15463,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_1_RESULTADO.md,2638,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_1_VALIDACION_FINAL.md,19930,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_1_VALIDACION_FINAL_RESULTADO.md,3220,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_INSTRUCCIONES.md,19549,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_RESULTADO.md,2171,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_VALIDACION_INSTRUCCIONES.md,19986,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v2/R5/V2_R5_VALIDACION_REAL.md,5084,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_CIERRE_FINAL.md,4163,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_FINAL_CLOSURE_REVIEW.md,7714,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_FINAL_CLOSURE_REVIEW_RESULTADO.md,1918,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R10_1_COMPREHENSIVE_MAINTAINABILITY_REFACTOR.md,10292,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R10_1_COMPREHENSIVE_MAINTAINABILITY_REFACTOR_RESULTADO.md,3870,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R10_CODE_QUALITY_MAINTAINABILITY_DOCUMENTATION.md,18215,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R10_CODE_QUALITY_MAINTAINABILITY_DOCUMENTATION_RESULTADO.md,3545,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R1_DOCUMENTATION_CONTRACT.md,17730,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R1_RESULTADO.md,2146,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R2_CONTEXT_RESOLVER.md,14839,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R2_RESULTADO.md,2336,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R3_1_CORRECCION_TESTS.md,11563,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R3_1_RESULTADO.md,2622,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R3_2_CORRECCION_FINAL.md,7422,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R3_2_RESULTADO.md,2057,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R3_CONTEXT_COMPOSITION_BUDGET.md,17263,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R3_RESULTADO.md,2568,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R4_LLM_PROVIDER_ABSTRACTION.md,16020,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R4_RESULTADO.md,2217,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R5_DOCUMENTATION_PROFILES_PROMPT_CONTRACT.md,20207,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R5_RESULTADO.md,2577,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R6_1_COPILOT_REAL_PILOT.md,10874,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R6_1_REAL_PILOT_EXECUTION.md,5997,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R6_1_RESULTADO.md,3471,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R6_REAL_PROVIDER_PILOT.md,12644,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R6_RESULTADO.md,1899,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_1_ASSESSMENT_CONTRACT_ENFORCEMENT.md,15196,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_1_RESULTADO.md,4668,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_1_HIERARCHICAL_SYNTHESIS.md,18992,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_1_RESULTADO.md,4048,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_2_DETERMINISTIC_ENVELOPE_AND_RESUME.md,19553,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_2_RESULTADO.md,4687,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_3_EVIDENCE_CONSTRAINED_RESUME.md,21474,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_3_RESULTADO.md,6874,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_4_DOCUMENT_CONSISTENCY_AND_SEMANTIC_DEDUPLICATION.md,18898,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_4_RESULTADO.md,6626,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_RESULTADO.md,5011,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_2_SYSTEMATIC_COVERAGE.md,20933,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_DOCUMENT_GENERATION.md,14051,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R7_RESULTADO.md,3473,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_1_DEEP_SOURCE_ANALYSIS_ENGINE.md,18184,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_1_DEEP_SOURCE_ANALYSIS_RESULTADO.md,5719,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_2_CONTRACT_CORRECTION.md,8884,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_2_CONTRACT_CORRECTION_RESULTADO.md,5733,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_2_EVIDENCE_CONSTRAINED_DEEP_INTERPRETATION.md,14261,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_2_EVIDENCE_CONSTRAINED_INTERPRETATION_RESULTADO.md,4620,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_3_TARGETED_EVIDENCE_EXHAUSTION.md,12750,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_3_TARGETED_EVIDENCE_EXHAUSTION_RESULTADO.md,4889,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_PAQUETE_SEGUNDA_REVISION_HUMANA.md,17921,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_RECORD_SECOND_HUMAN_REVIEW.md,8407,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_RESPUESTA_REVISION.md,1600,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_REVISION_HUMANA_APROBADA.md,2880,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_REVISION_HUMANA_APROBADA_RESULTADO.md,2365,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_SECOND_HUMAN_REVIEW.md,7812,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_4_SECOND_HUMAN_REVIEW_RESULTADO.md,3040,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_DESICION_HUMANA.md,5942,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_HUMAN_REVIEW.md,14517,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_PAQUETE_REVISION_HUMANA.md,21156,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_RESPUESTA_REVISION.md,1391,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_RESULTADO.md,3699,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_REVISION_REGISTRADA.md,2456,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R8_REVISION_REGISTRADA_RESULTADO.md,2099,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R9_KNOWLEDGE_READINESS_GATE.md,12060,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
codex/v3/V3_R9_KNOWLEDGE_READINESS_GATE_RESULTADO.md,3155,tracked,KEEP,history,no,yes,no,KEEP,Historical V1-V3 Codex-led dev-agent execution/result record (preserved name per AGENTS.md).
context/.gitkeep,0,tracked,KEEP,config,yes,no,no,KEEP,Placeholder preserving runtime working directory structure; contents intentionally not versioned.
docs/GENERATED_ARTIFACT_POLICY.md,4014,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/LEGACYMAPPER_PYTHON_DEVELOPMENT_STANDARD.md,4569,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/PROJECT_RECOVERY.md,6061,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V3/MANUAL_TECNICO_LEGACYMAPPER_V3.md,9586,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V3/MANUAL_USUARIO_LEGACYMAPPER_V3.md,6858,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_00_1_ROADMAP_APPROVAL_RESULT.md,4819,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_00_1_ROADMAP_HUMAN_REVIEW_CORRECTIONS.md,8949,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_00_BOOTSTRAP_RESULT.md,6627,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_AI_HANDOVER.md,5259,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_ARCHITECTURE_AND_CONTRACT_REFERENCE.md,13789,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_CONTRACT_FOUNDATION.md,8130,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_DEVELOPER_MANUAL.md,13359,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_FINAL_CLOSURE_RESULT.md,8195,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_OPERATIONS_AND_RECOVERY_MANUAL.md,9588,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_PROPOSED_ROADMAP.md,8808,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R10_CANONICAL_KNOWLEDGE_COMPOSITION_RESULT.md,21453,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R10_CLOSURE_AND_VERSIONING_RESULT.md,5945,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R11_CLOSURE_AND_VERSIONING_RESULT.md,6179,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R11_HUMAN_READABLE_DOCUMENT_PROJECTION_RESULT.md,18485,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R12_CLOSURE_AND_VERSIONING_RESULT.md,6024,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R12_PLUGIN_FACING_MACHINE_READABLE_OUTPUT_CONTRACT_RESULT.md,20315,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R13_CLOSURE_AND_VERSIONING_RESULT.md,6404,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R13_REGRESSION_AND_SECURITY_RESULT.md,19576,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R14_MANUALS_AND_FINAL_BASELINE_RESULT.md,21518,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R1_1_REPOSITORY_VERSIONING_RESULT.md,14151,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R1_KNOWLEDGE_DOMAIN_MODEL_RESULT.md,8765,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R2_CLOSURE_AND_VERSIONING_RESULT.md,5536,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R2_INPUT_SOURCE_CONTRACTS_RESULT.md,10650,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R3_CLOSURE_AND_VERSIONING_RESULT.md,6984,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R3_PROVENANCE_RESULT.md,12737,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R4_CLOSURE_AND_VERSIONING_RESULT.md,8404,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R4_HUMAN_SUPPLIED_MATERIAL_INGESTION_RESULT.md,14131,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R5_CLOSURE_AND_VERSIONING_RESULT.md,7443,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R5_KNOWLEDGE_CLASSIFICATION_RESULT.md,12770,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R6_AS_IS_TO_BE_SEPARATION_RESULT.md,13899,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R6_CLOSURE_AND_VERSIONING_RESULT.md,7400,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R7_CLOSURE_AND_VERSIONING_RESULT.md,4758,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R7_GAP_AND_CONFLICT_REPRESENTATION_RESULT.md,10706,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R8_CLOSURE_AND_VERSIONING_RESULT.md,5168,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R8_PROPOSAL_LIFECYCLE_RESULT.md,14351,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R9_CLOSURE_AND_VERSIONING_RESULT.md,5681,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
docs/V4/V4_R9_TECHNICAL_LEAD_APPROVAL_RESULT.md,16572,tracked,KEEP,documentation,yes,yes,no,KEEP,Versioned technical/user documentation and round closure results.
